distance mm,fsr reading,time ms
29.0,0,9739
nan,0,9825
29.0,0,9992
nan,0,10078
29.0,0,10245
nan,0,10331
31.0,0,10498
nan,0,10584
30.0,0,10751
nan,0,10837
28.0,0,11004
nan,0,11090
29.0,0,11257
nan,2491,11343
28.0,2799,11510
nan,3572,11596
29.0,3367,11763
nan,3222,11849
28.0,3319,12016
nan,3263,12102
29.0,2693,12269
nan,2821,12355
29.0,2915,12522
nan,3042,12608
28.0,2971,12775
nan,3009,12861
29.0,3033,13028
nan,3056,13114
30.0,3104,13281
nan,3159,13367
29.0,3071,13534
nan,3071,13620
30.0,3120,13787
nan,3205,13873
30.0,3204,14040
nan,3227,14126
31.0,3244,14293
nan,3135,14379
30.0,3032,14546
nan,2304,14632
30.0,2113,14799
nan,2128,14885
29.0,2163,15052
nan,2724,15138
30.0,2910,15305
nan,2927,15391
30.0,2946,15558
nan,2555,15644
30.0,0,15811
nan,0,15897
30.0,0,16064
nan,1890,16150
30.0,2368,16317
nan,2493,16403
31.0,2122,16570
nan,666,16656
31.0,571,16823
nan,2447,16909
31.0,2395,17076
nan,1901,17162
31.0,0,17329
nan,2211,17415
32.0,2282,17582
nan,1795,17668
32.0,1843,17835
nan,2141,17921
32.0,2334,18088
nan,2203,18174
32.0,2134,18341
nan,2256,18427
